"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0046873","MF","GO:0046873","metal ion transmembrane transporter activity","37/304","412/17701",1.47471094730426e-16,5.45643050502575e-14,4.34651647626518e-14,"559270/569528/403310/563904/100126126/768182/560561/101887082/563935/567212/557843/567702/494490/563228/563356/562796/568512/562853/407670/562059/794222/170581/571208/555941/559447/560289/793996/567611/555284/572215/559036/559964/797331/562422/393101/557642/799412",37
"GO:0005261","MF","GO:0005261","monoatomic cation channel activity","29/304","327/17701",4.67625566928944e-13,6.2252661246721e-11,4.95896021311007e-11,"569528/403310/563904/100126126/768182/101887082/563935/557843/567702/563228/562796/562853/407670/562059/794222/170581/571208/565807/555941/559447/560289/793996/567611/555284/559036/559964/562422/393101/799412",29
"GO:0008331","MF","GO:0008331","high voltage-gated calcium channel activity","9/304","15/17701",5.28279133146599e-13,6.2252661246721e-11,4.95896021311007e-11,"569528/403310/567702/562796/562059/170581/555941/559964/562422",9
"GO:0015085","MF","GO:0015085","calcium ion transmembrane transporter activity","19/304","128/17701",6.73001743207795e-13,6.2252661246721e-11,4.95896021311007e-11,"569528/403310/563904/100126126/768182/560561/101887082/567212/567702/562796/568512/562059/794222/170581/555941/567611/559964/562422/799412",19
"GO:0005216","MF","GO:0005216","monoatomic ion channel activity","32/304","445/17701",8.04606245258853e-12,5.95408621491551e-10,4.74294207731534e-10,"569528/403310/563904/100126126/768182/101887082/563935/557843/567702/563228/562796/566514/553402/100538116/562853/407670/562059/794222/170581/571208/565807/555941/559447/560289/793996/567611/555284/559036/559964/562422/393101/799412",32
"GO:0022839","MF","GO:0022839","monoatomic ion gated channel activity","28/304","345/17701",1.02658833040474e-11,6.33062803749587e-10,5.04289004409344e-10,"569528/403310/563904/563935/557843/567702/562796/566514/553402/100538116/562853/407670/562059/794222/170581/571208/565807/555941/559447/560289/793996/567611/555284/559036/559964/562422/393101/799412",28
"GO:0022836","MF","GO:0022836","gated channel activity","28/304","349/17701",1.35101565856543e-11,7.14108276670298e-10,5.68848698343339e-10,"569528/403310/563904/563935/557843/567702/562796/566514/553402/100538116/562853/407670/562059/794222/170581/571208/565807/555941/559447/560289/793996/567611/555284/559036/559964/562422/393101/799412",28
"GO:0005262","MF","GO:0005262","calcium channel activity","16/304","104/17701",2.63145652304493e-11,1.14219773006766e-09,9.09858789243087e-10,"569528/403310/563904/100126126/768182/101887082/567702/562796/562059/794222/170581/555941/567611/559964/562422/799412",16
"GO:0015267","MF","GO:0015267","channel activity","33/304","498/17701",3.33245214967717e-11,1.14219773006766e-09,9.09858789243087e-10,"569528/403310/563904/100126126/768182/101887082/563935/557843/567702/563228/445293/562796/566514/553402/100538116/562853/407670/562059/794222/170581/571208/565807/555941/559447/560289/793996/567611/555284/559036/559964/562422/393101/799412",33
"GO:0022803","MF","GO:0022803","passive transmembrane transporter activity","33/304","498/17701",3.33245214967717e-11,1.14219773006766e-09,9.09858789243087e-10,"569528/403310/563904/100126126/768182/101887082/563935/557843/567702/563228/445293/562796/566514/553402/100538116/562853/407670/562059/794222/170581/571208/565807/555941/559447/560289/793996/567611/555284/559036/559964/562422/393101/799412",33
"GO:0005244","MF","GO:0005244","voltage-gated monoatomic ion channel activity","21/304","199/17701",3.39572298128224e-11,1.14219773006766e-09,9.09858789243087e-10,"569528/403310/563904/563935/557843/567702/562796/562853/562059/794222/170581/571208/555941/559447/560289/793996/555284/559036/559964/562422/393101",21
"GO:0022832","MF","GO:0022832","voltage-gated channel activity","21/304","204/17701",5.44212891708928e-11,1.67798974943586e-09,1.33666324279386e-09,"569528/403310/563904/563935/557843/567702/562796/562853/562059/794222/170581/571208/555941/559447/560289/793996/555284/559036/559964/562422/393101",21
"GO:0005245","MF","GO:0005245","voltage-gated calcium channel activity","11/304","47/17701",3.2174813629895e-10,9.15744695620089e-09,7.29469458815434e-09,"569528/403310/563904/567702/562796/562059/794222/170581/555941/559964/562422",11
"GO:0022843","MF","GO:0022843","voltage-gated monoatomic cation channel activity","17/304","150/17701",8.6988367984784e-10,2.29897829674072e-08,1.83133406283756e-08,"569528/403310/563904/557843/567702/562796/562853/562059/794222/170581/571208/555941/560289/555284/559036/559964/562422",17
"GO:0015081","MF","GO:0015081","sodium ion transmembrane transporter activity","14/304","130/17701",5.27582670588385e-08,1.30137058745135e-06,1.03665366852455e-06,"559270/563904/560561/563935/567212/557843/494490/563356/568512/407670/559447/793996/393101/557642",14
"GO:0005272","MF","GO:0005272","sodium channel activity","7/304","35/17701",1.83078205779521e-06,4.23368350865143e-05,3.37249326435961e-05,"563904/563935/557843/407670/559447/793996/393101",7
"GO:0015291","MF","GO:0015291","secondary active transmembrane transporter activity","15/304","230/17701",1.09965074931098e-05,0.000239335751320626,0.000190651523100356,"559270/768182/560561/567212/494490/563356/568512/572215/567544/798635/558346/393932/797331/100333073/557642",15
"GO:0017154","MF","GO:0017154","semaphorin receptor activity","5/304","19/17701",1.37961920827943e-05,0.000283588392812994,0.000225902560420023,"561285/795761/100333657/566546/567422",5
"GO:0030695","MF","GO:0030695","GTPase regulator activity","19/304","393/17701",5.30535289743147e-05,0.000981490286024821,0.000781841479621479,"566318/100535556/394115/100149630/562652/571925/558211/561005/100034485/100331732/100536057/796404/324332/566115/567298/100270734/571688/799483/100537442",19
"GO:0060589","MF","GO:0060589","nucleoside-triphosphatase regulator activity","19/304","393/17701",5.30535289743147e-05,0.000981490286024821,0.000781841479621479,"566318/100535556/394115/100149630/562652/571925/558211/561005/100034485/100331732/100536057/796404/324332/566115/567298/100270734/571688/799483/100537442",19
"GO:0016917","MF","GO:0016917","GABA receptor activity","5/304","25/17701",5.79255373456721e-05,0.00102059280085232,0.000812989997833994,"558708/560267/566514/553402/100538116",5
